-----------------------------------------------------------------------------------------
汉字      全拼      五笔      郑码      UNICODE   GBK       笔画数    部首      笔顺编号
妧        yuan      vfqn      ZMBR      59A7      8A80      7         女        5311135
妨        fang      vyn       ZMSY      59A8      B7C1      7         女        5314153
妩        wu        vfqn      ZMAG      59A9      E5FC      7         女        5311135
妪        yu        vaqy      ZMHO      59AA      E5FD      7         女        5311345
妫        gui       vyly      ZMYS      59AB      E6A3      7         女        5314354
妬        du        vynt      ZMG       59AC      8A81      8         女        53113251
妭        bo        vdcy      ZMXS      59AD      8A82      8         女        53113544
妮        ni        vnxn      ZMXR      59AE      C4DD      8         女        53151335
妯        zhou      vmg       ZMKI      59AF      E6A8      8         女        53125121
妰        zhuo      vthf      ZMMI      59B0      8A83      8         女        53131211
妱        zhao      vvkg      ZMYJ      59B1      8A84      8         女        53153251
妲        da        vjgg      ZMKA      59B2      E6A7      8         女        53125111
妳        ni        vqiy      ZMRK      59B3      8A85      8         女        53135234
妴        yuan      qbvf      RSYZ      59B4      8A86      8         女        35355531
妵        tou       vygg      ZMSC      59B5      8A87      8         女        53141121
妶        xuan      vyxy      ZMZZ      59B6      8A88      8         女        53141554
妷        zhi       vrwy      ZMMO      59B7      8A89      8         女        53131134
妸        e         vskg      ZMAJ      59B8      8A8A      8         女        53112512
妹        mei       vfiy      ZMBK      59B9      C3C3      8         女        53111234
妺        mo        vgsy      ZMAF      59BA      8A8B      8         女        53111234
妻        qi        gvhv      AXZM      59BB      C6DE      8         女        15112531
妼        bi        vntt      ZMWM      59BC      8A8C      8         女        53145434
妽        shen      vjhh      ZMKI      59BD      8A8D      8         女        53125112
妾        qie       uvf       SUZM      59BE      E6AA      8         女        41431531
妿        e         lkvf      YMJZ      59BF      8A8E      8         女        53251531
姀        he        vty       ZMMF      59C0      8A8F      8         女        53131234
姁        xu        vqkg      ZMRJ      59C1      8A90      8         女        53135251
姂        fa        vtpy      ZMMW      59C2      8A91      7         女        5313454
姃        zheng     vghg      ZMAI      59C3      8A92      8         女        53112121
姄        min       vnan      ZMYH      59C4      8A93      8         女        53151515
姅        ban       vufh      ZMUB      59C5      8A94      8         女        53143112
姆        mu        vxgu      ZMZY      59C6      C4B7      8         女        53155414
姇        fu        wfvf      NDZM      59C7      8A95      8         女        32124531
姈        ling      vwgc      ZMOW      59C8      8A96      8         女        53134454
姉        zi        vgmh      ZMAL      59C9      8A97      7         女        5311252
姊        zi        vtnt      ZMIM      59CA      E6A2      7         女        5313523
始        shi       vckg      ZMZJ      59CB      CABC      8         女        53154251
姌        ran       vmfg      ZMLB      59CC      8A98      8         女        53125211
姍        xian      vmmg      ZMLE      59CD      8A99      8         女        53125221
姎        yang      vmdy      ZMLG      59CE      8A9A      8         女        53125134
姏        man       vafg      ZMEB      59CF      8A9B      8         女        53112211
姐        jie       vegg      ZMLC      59D0      BDE3      8         女        53125111
姑        gu        vdg       ZMEJ      59D1      B9C3      8         女        53112251
姒        si        vnyw      ZMZO      59D2      E6A6      7         女        5315434
